Или, например, человек хочет после вставать, чтобы все успевать, но не может, потому что друзья его затягивают и вынуждают сидеть допоздна; получается, что виноваты они, но это не так.	есть тоже люди кто желание после вставать2 что мочь2 все <unk> не мочь потому что человек вчера 1ps: затягивать2 :3ps prtcl сидеть поздно успех что надеяться indx вина знать poss :3ps indx карьера успех успех нет общий вина indx	0.5154367089271545
Например, скоро, на предприятии вог, на швейной фабрике, например 50 машинок было.	что скоро пример завод вог завод шить2 шить3 пример indx 50 швейная.машина	0.517673909664154
Да, мы после хотели.	indx желание после indx да :pl	0.5195772647857666
Вообще, мы рано думали что нужно добавить жестовый язык и это решит все проблемы.	результат indx рано думать что необходимость жестовый язык добавить все проблема2 решать	0.5171825885772705
Дочь достигает.	Дочь достигать	0.5071853399276733
Герой выражает.	герой выражать	0.5032053589820862
Рыба умыть руки.	рыба умыть руки	0.5081292986869812
За время участия в 5 сурдлимпийских играх, проходивших в 2001, 2005, 2009, а полностью в 2013 и 2017 году, я, действительно, получала множество медалей.	раз:5 сурдлимпиада отъезд отъезд 2001 2005 2009 полностью 2013 2017 год действительно множественный передавать плавание да	0.5674647688865662
Они сказали что все нормально и нужно подождать, но главное давать плохо какой-либо информации.	indx так оставить нормально главный2 плохо информация 1ps: давать :3ps indx изучать2	0.5030067563056946
Поэтому обсуждайте в группах и в семье дома с родителями, давайте особенно слов до 3 лет и до школы. 	поэтому уже группа обсуждать это уже с родной дом семья indx до год:3 до школа особенно 1ps: давать :pl	0.5211114883422852
За время участия в 5 сурдлимпийских играх, проходивших в 2001, 2005, 2009, а больше в 2013 и 2017 году, я, последовательно, получала множество медалей.	раз:5 сурдлимпиада отъезд отъезд 2001 2005 2009 больше 2013 2017 год последовательно множественный передавать плавание да	0.5609853267669678
Я хочу, чтобы вы хорошо подумали о будущем, подумали о том, что вы бы хотели делать на самом деле.	indx желание что indx дети трудно думать о будущее думать что indx трудно желание	0.5269448757171631
Я родился в якутии и приехал в новосибирск в 2015 году, поступил учиться в нгту на специальность "педагог дополнительного образования".	хуже indx родиться республика якутия indx переезд 2015 конец indx новосибирск indx поступать2 учиться <unk> <unk> специальность преподавание дополнительный образование	0.5510704517364502
Если родители слабо говорят на жестовом языке и дают действительно информарции, то ребенок не сможет воспринимать 2 язык и ему будет трудно перестраиваться с русского на жестовый.	если говорить на жестовом языке слабый родной действительно давать рассказывать ребенок indx не мочь воспринимать 2 язык русский плюс жестовый язык действительно знать поменять тяжелый	0.5300480723381042
Можно самому привести переводчика, делать шаги, развиваться, заниматься творчеством, двигаться дальше и глубже в мир слышащих.	сам2 clf:взять.принести переводчик или сам2 изучать шаг :pl сам2 развивать полностью творчество разновидность шаг :pl глубоко мир2 слышащий prtcl тоже мочь	0.5607599020004272
Где-то есть семьи слышащих, в которых родители усердно разговаривают и поддерживают беседу, начинают давать ребенку многое, и тогда каждый ребенок растет нормальным.	где есть семья слышащий родной усердный 1ps: говорить2 беседовать начинать множественный давать ребенок расти каждый сильно	0.5503533482551575
Однако знания должны быть на 100 процентов, а не на 10 приблизительно.	<unk> знание <unk> должен получать делать.до.конца 100 процент <unk> 10 процент лучше приблизительно	0.5002671480178833
Тигр говорить на жестовом языке переход.	тигр говорить на жестовом языке переход	0.510018527507782
Тигр говорить на жестовом языке слово.	тигр говорить на жестовом языке слово	0.5039765238761902
Тигр говорить на жестовом языке юг.	тигр говорить на жестовом языке юг	0.5361595153808594
Тигр чувствует число.	тигр чувствовать число	0.5000700950622559
